CustomerName,ProductSpecifics,DeliverySchedule,SteelWirePrice,PowderPaintCost,ElectricityCost,MarketDemand,Quantity,Profit(%),BasePrice,SalesPrice,ProposalPrice,CustomerReturn
Baker Lynch and Carroll,Welded Wire Fence,2023-08-23,621.76,2.07,86.01,100,124,12,734.84,823.0208,102054.57920000001,Negotiation
Gomez Group,Welded Wire Fence,2023-09-25,611.98,3.74,96.94,100,91,12,737.6600000000001,826.1792,75182.30720000001,Negotiation
Garcia-Rogers,Welded Wire Fence,2023-02-17,609.25,3.35,94.91,50,7,12,720.01,806.4112,5644.8784,Accepted
Jones Group,Welded Wire Fence,2023-08-30,612.22,2.21,88.78,100,115,12,728.21,815.5952,93793.448,Rejected
Garcia Inc,Welded Wire Fence,2023-06-08,627.55,2.79,90.44,100,122,12,745.78,835.2736,101903.3792,Negotiation
Smith Ltd,Welded Wire Fence,2023-11-25,607.01,2.38,99.21,75,109,12,727.35,814.6320000000001,88794.888,Accepted
Michael-Mcmahon,Welded Wire Fence,2023-10-03,604.39,3.08,83.24,75,8,12,709.46,794.5952,6356.7616,Negotiation
Hooper-Adams,Welded Wire Fence,2023-05-08,604.02,3.87,98.17,75,42,12,724.81,811.7872,34095.0624,Rejected
Moore-Smith,Welded Wire Fence,2023-10-11,604.94,3.87,94.52,75,44,12,722.08,808.7296,35584.1024,Accepted
Davis-Huff,Welded Wire Fence,2023-08-01,615.73,2.22,96.37,100,67,12,739.32,828.0384,55478.5728,Accepted
Rubio Group,Welded Wire Fence,2023-06-06,635.8,2.3,99.03,100,37,10,762.1299999999999,838.3429999999998,31018.690999999995,Negotiation
Black Parker and Weber,Welded Wire Fence,2023-04-06,606.98,3.48,98.2,75,83,12,727.4100000000001,814.6992000000001,67620.03360000001,Accepted
Best Bowen and Manning,Welded Wire Fence,2023-06-24,600.26,2.42,95.34,100,102,12,723.02,809.7823999999999,82597.8048,Negotiation
Bowman Group,Welded Wire Fence,2024-01-09,595.11,2.18,86.26,50,117,7,696.05,744.7734999999999,87138.49949999999,Accepted
Bruce Jackson and Foster,Welded Wire Fence,2023-10-25,607.62,2.41,88.49,75,26,12,717.27,803.3424,20886.9024,Negotiation
Dominguez Maxwell and Anderson,Welded Wire Fence,2023-10-20,609.25,3.54,96.61,75,89,12,728.15,815.528,72581.992,Rejected
Martinez Ltd,Welded Wire Fence,2023-06-14,604.39,2.96,94.56,100,13,10,726.9100000000001,799.6010000000001,10394.813000000002,Accepted
Cook LLC,Welded Wire Fence,2023-05-27,608.69,3.24,99.03,75,119,12,729.71,817.2752,97255.7488,Rejected
Griffin Hall and Mcintosh,Welded Wire Fence,2023-05-30,606.67,2.3,83.84,75,4,12,711.56,796.9472,3187.7888,Rejected
Michael Jenkins and Fleming,Welded Wire Fence,2023-08-28,611.5,2.88,93.62,100,87,12,733.0,820.96,71423.52,Accepted
Anderson LLC,Welded Wire Fence,2023-06-08,630.97,3.45,82.57,100,17,10,741.99,816.189,13875.213,Negotiation
Bartlett-Abbott,Welded Wire Fence,2023-03-31,601.23,2.35,95.74,75,88,12,718.07,804.2384000000001,70772.9792,Rejected
Alvarez PLC,Welded Wire Fence,2023-04-02,602.51,3.62,84.48,75,100,12,709.36,794.4832,79448.32,Negotiation
Hernandez Oliver and Horton,Welded Wire Fence,2023-10-20,607.55,3.16,94.66,75,69,12,724.1199999999999,811.0143999999999,55959.993599999994,Rejected
Perkins-Conrad,Welded Wire Fence,2023-12-09,596.95,3.51,98.09,50,83,7,711.0500000000001,760.8235000000001,63148.35050000001,Accepted
Wyatt Ltd,Welded Wire Fence,2023-06-18,602.08,3.86,90.11,100,7,10,721.0500000000001,793.1550000000001,5552.085000000001,Rejected
Rose-Heath,Welded Wire Fence,2023-11-03,604.08,2.08,98.94,75,85,12,723.8500000000001,810.7120000000001,68910.52,Negotiation
Pearson-Little,Welded Wire Fence,2023-06-20,634.19,2.08,85.28,100,81,12,746.5500000000001,836.1360000000001,67727.016,Accepted
Simpson-Holmes,Welded Wire Fence,2023-03-24,602.4,3.23,84.71,75,1,12,709.09,794.1808000000001,794.1808000000001,Negotiation
Scott-Miller,Welded Wire Fence,2023-03-07,608.06,2.83,97.67,75,33,12,727.31,814.5871999999999,26881.3776,Negotiation
Davis Reilly and Baker,Welded Wire Fence,2023-04-05,608.85,2.93,90.7,75,15,12,721.23,807.7776,12116.664,Accepted
Jones-Fowler,Welded Wire Fence,2023-07-29,632.76,2.34,84.09,100,99,12,744.19,833.4928000000001,82515.7872,Rejected
Ferrell Group,Welded Wire Fence,2023-06-18,616.23,3.23,94.73,100,136,12,739.19,827.8928000000001,112593.4208,Negotiation
Estrada-Vega,Welded Wire Fence,2023-06-30,615.51,3.45,90.18,100,121,12,734.1400000000001,822.2368000000001,99490.65280000001,Negotiation
Cowan Group,Welded Wire Fence,2023-11-22,605.26,2.79,84.73,75,110,12,711.53,796.9136,87660.496,Negotiation
Gordon Warner and Smith,Welded Wire Fence,2023-12-08,606.1,2.03,87.27,50,13,12,707.9,792.848,10307.024,Negotiation
Young Velasquez and Larson,Welded Wire Fence,2023-02-22,601.51,2.52,85.76,50,87,7,702.29,751.4503,65376.1761,Accepted
Donovan Ball and Scott,Welded Wire Fence,2023-01-22,592.91,3.15,91.11,50,28,12,699.67,783.6304,21941.6512,Negotiation
Smith Orr and Rodriguez,Welded Wire Fence,2023-10-16,602.3,2.01,83.86,75,115,12,706.92,791.7503999999999,91051.29599999999,Rejected
Freeman LLC,Welded Wire Fence,2023-06-12,604.47,2.99,94.89,100,49,10,727.35,800.085,39204.165,Accepted
Rowland Wilson and Wright,Welded Wire Fence,2023-06-18,614.44,2.86,80.58,100,17,10,722.8800000000001,795.1680000000001,13517.856000000002,Rejected
Lee Inc,Welded Wire Fence,2023-06-14,639.89,3.83,91.66,100,28,10,760.38,836.418,23419.704,Rejected
Davila Clark and Thomas,Welded Wire Fence,2023-07-15,637.67,2.53,93.23,100,28,10,758.43,834.2729999999999,23359.643999999997,Rejected
Bailey-Coleman,Welded Wire Fence,2023-04-03,604.39,3.53,89.87,75,136,12,716.54,802.5247999999999,109143.37279999998,Negotiation
Atkinson Group,Welded Wire Fence,2023-03-13,606.98,2.41,97.59,75,84,12,725.73,812.8176000000001,68276.6784,Negotiation
Hopkins Sanchez and Gonzalez,Welded Wire Fence,2023-11-09,608.93,2.18,83.47,75,27,12,713.3299999999999,798.9295999999999,21571.099199999997,Negotiation
Schmidt-Harris,Welded Wire Fence,2024-01-07,600.16,3.42,99.65,50,64,7,715.7299999999999,765.8310999999999,49013.19039999999,Rejected
Rice-Beltran,Welded Wire Fence,2023-07-16,603.93,3.95,83.11,100,3,10,715.99,787.5889999999999,2362.767,Negotiation
Hernandez Jackson and Brown,Welded Wire Fence,2023-09-27,619.58,3.86,83.25,100,117,12,731.69,819.4928000000001,95880.6576,Accepted
Flores Johnson and Johnson,Welded Wire Fence,2023-05-04,604.2,2.86,86.43,75,125,12,712.24,797.7088,99713.6,Accepted
Lewis LLC,Welded Wire Fence,2023-07-06,607.26,3.3,85.88,100,67,12,721.4399999999999,808.0128,54136.857599999996,Accepted
Duncan Williams and Johnson,Welded Wire Fence,2023-07-30,626.04,2.59,98.29,100,7,10,751.92,827.112,5789.784,Rejected
Lewis Group,Welded Wire Fence,2023-05-02,604.34,3.61,98.64,75,147,12,725.34,812.3808,119419.9776,Negotiation
Wolf-Brown,Welded Wire Fence,2023-10-09,600.48,3.9,96.25,75,42,12,719.38,805.7056,33839.6352,Negotiation
Riley Ltd,Welded Wire Fence,2023-03-16,608.24,3.61,95.74,75,1,12,726.34,813.5008,813.5008,Accepted
Horton Ltd,Welded Wire Fence,2023-02-08,609.87,2.24,84.18,50,109,7,708.79,758.4053,82666.1777,Accepted
Bush Lynch and Brandt,Welded Wire Fence,2023-07-15,629.06,3.58,98.3,100,69,12,755.9399999999999,846.6528,58419.0432,Accepted
Morgan Miller and Stanley,Welded Wire Fence,2023-10-29,609.4,3.83,83.21,75,125,12,715.19,801.0128000000001,100126.6,Negotiation
Gardner LLC,Welded Wire Fence,2023-04-05,608.38,2.14,91.37,75,57,12,720.64,807.1168,46005.6576,Accepted
Clark Perez and Martinez,Welded Wire Fence,2023-02-14,606.14,2.75,88.45,50,87,7,709.84,759.5288,66079.0056,Negotiation
Howard-Rangel,Welded Wire Fence,2023-10-14,607.13,2.87,96.87,75,70,12,725.62,812.6944,56888.608,Rejected
Pitts PLC,Welded Wire Fence,2023-10-31,600.33,2.08,89.28,75,76,12,710.44,795.6928,60472.6528,Accepted
West-Dillon,Welded Wire Fence,2023-10-09,607.19,2.29,94.31,75,43,12,722.54,809.2447999999999,34797.526399999995,Negotiation
Moore Benjamin and Johnson,Welded Wire Fence,2023-07-10,602.62,2.37,96.05,100,63,12,726.04,813.1648,51229.3824,Accepted
Coleman Ltd,Welded Wire Fence,2023-03-22,601.65,3.82,86.66,75,144,12,710.88,796.1856,114650.7264,Rejected
Bowman-Black,Welded Wire Fence,2023-08-20,606.04,3.63,81.1,100,126,12,715.77,801.6623999999999,101009.46239999999,Accepted
Gonzalez-Hawkins,Welded Wire Fence,2023-08-21,610.15,2.54,85.34,100,139,12,723.03,809.7936,112561.3104,Accepted
Bennett Harvey and Roberts,Welded Wire Fence,2023-07-17,606.55,2.26,89.81,100,101,12,723.6199999999999,810.4543999999999,81855.89439999999,Negotiation
Shelton Group,Welded Wire Fence,2024-01-07,600.59,2.34,88.95,50,132,7,704.3800000000001,753.6866000000001,99486.63120000002,Negotiation
Valdez-Ward,Welded Wire Fence,2023-02-05,593.64,2.99,80.64,50,121,7,689.77,738.0539,89304.5219,Negotiation
Martinez Ltd,Welded Wire Fence,2023-09-18,616.1,3.77,87.21,100,93,12,732.08,819.9296,76253.4528,Negotiation
Glass and Sons,Welded Wire Fence,2023-10-23,609.19,3.34,96.55,75,39,12,727.83,815.1696000000001,31791.614400000002,Accepted
Escobar LLC,Welded Wire Fence,2023-07-19,629.95,3.91,91.84,100,116,12,750.7,840.7840000000001,97530.94400000002,Negotiation
Taylor Silva and Schwartz,Welded Wire Fence,2023-11-24,609.83,2.04,100.0,75,79,12,730.62,818.2944,64645.2576,Negotiation
Martin Inc,Welded Wire Fence,2024-01-01,595.06,2.03,96.89,50,76,7,706.4799999999999,755.9335999999998,57450.953599999986,Negotiation
Gardner-Brown,Welded Wire Fence,2023-04-12,605.88,2.27,88.57,75,123,12,715.47,801.3264,98563.1472,Negotiation
Clark Inc,Welded Wire Fence,2023-07-22,610.77,2.11,97.83,100,65,12,735.71,823.9952000000001,53559.688,Accepted
Casey Inc,Welded Wire Fence,2023-10-22,601.68,3.77,97.03,75,4,12,721.2299999999999,807.7775999999999,3231.1103999999996,Accepted
Carson Mooney and Graham,Welded Wire Fence,2023-11-07,602.6,3.95,81.71,75,96,12,707.0100000000001,791.8512000000001,76017.7152,Negotiation
Dunlap-Holmes,Welded Wire Fence,2023-07-09,611.06,2.78,91.3,100,129,12,730.1399999999999,817.7567999999999,105490.62719999999,Rejected
Esparza Diaz and Smith,Welded Wire Fence,2023-11-24,604.46,3.14,92.93,75,64,12,719.28,805.5935999999999,51557.990399999995,Negotiation
Nelson Berg and Lopez,Welded Wire Fence,2023-08-07,605.79,2.01,84.05,100,138,12,716.8499999999999,802.8719999999998,110796.33599999998,Accepted
Bryant-Williams,Welded Wire Fence,2023-05-30,602.58,2.14,93.11,75,121,12,716.58,802.5696,97110.9216,Negotiation
Bradshaw-Tucker,Welded Wire Fence,2023-11-04,600.43,2.39,92.8,75,87,12,714.3699999999999,800.0943999999998,69608.21279999998,Accepted
Mccoy Inc,Welded Wire Fence,2023-08-12,617.89,2.72,98.71,100,46,10,744.32,818.7520000000001,37662.592000000004,Rejected
Garcia Weaver and Rogers,Welded Wire Fence,2023-07-31,608.99,3.51,83.75,100,40,10,721.25,793.375,31735.0,Accepted
Swanson-Rosario,Welded Wire Fence,2023-04-29,601.88,3.14,84.26,75,5,12,708.03,792.9936,3964.968,Accepted
Sanchez Thompson and Velazquez,Welded Wire Fence,2023-11-13,608.39,3.97,93.42,75,2,12,724.53,811.4736,1622.9472,Rejected
English PLC,Welded Wire Fence,2023-10-24,602.08,2.63,87.39,75,133,12,710.85,796.152,105888.216,Rejected
Henson PLC,Welded Wire Fence,2023-03-29,604.32,3.1,89.1,75,69,12,715.2700000000001,801.1024000000001,55276.06560000001,Rejected
Tran-Myers,Welded Wire Fence,2023-06-20,620.87,2.19,99.46,100,130,12,747.5200000000001,837.2224000000001,108838.91200000001,Rejected
Holt Ward and Gomez,Welded Wire Fence,2023-05-07,603.45,3.43,88.41,75,148,12,714.04,799.7248,118359.2704,Accepted
Dunn-Peterson,Welded Wire Fence,2023-06-06,635.37,2.36,97.01,100,150,12,759.74,850.9088,127636.32,Accepted
Fleming LLC,Welded Wire Fence,2023-02-12,592.88,2.79,87.3,50,27,12,695.4699999999999,778.9264,21031.012799999997,Rejected
Wallace Group,Welded Wire Fence,2023-11-25,602.49,3.05,89.61,75,76,12,713.9,799.568,60767.168,Accepted
Buchanan Baxter and Poole,Welded Wire Fence,2023-02-01,590.68,3.97,91.56,50,113,7,698.71,747.6197000000001,84481.0261,Negotiation
Davis-Huber,Welded Wire Fence,2023-08-24,613.44,2.49,82.99,100,87,12,723.9200000000001,810.7904000000001,70538.7648,Accepted
Smith-Gonzalez,Welded Wire Fence,2024-01-09,607.22,3.96,99.26,50,108,7,722.94,773.5458000000001,83542.94640000002,Negotiation
Cooper Jackson and Bell,Welded Wire Fence,2023-06-20,633.19,2.49,84.09,100,128,12,744.7700000000001,834.1424000000001,106770.22720000001,Accepted
Nicholson PLC,Welded Wire Fence,2023-01-27,603.33,3.73,89.05,50,148,7,708.61,758.2127,112215.4796,Rejected
Mckinney Mata and Jackson,Welded Wire Fence,2023-12-26,603.11,3.94,87.83,50,38,12,707.3800000000001,792.2656000000002,30106.092800000006,Rejected
Torres LLC,Welded Wire Fence,2023-04-30,603.64,3.3,96.58,75,100,12,722.27,808.9424,80894.24,Negotiation
Anderson Carrillo and Finley,Welded Wire Fence,2023-05-11,600.47,2.31,95.61,75,126,12,717.14,803.1967999999999,101202.7968,Negotiation
Fitzgerald Simmons and Freeman,Welded Wire Fence,2023-11-25,605.6,2.94,95.55,75,115,12,722.84,809.5808000000001,93101.792,Negotiation
Perez Shelton and Daugherty,Welded Wire Fence,2023-06-15,605.44,2.1,89.95,100,2,10,722.4900000000001,794.7390000000001,1589.4780000000003,Rejected
Atkinson Inc,Welded Wire Fence,2023-07-11,608.97,2.52,96.31,100,15,10,732.8,806.0799999999999,12091.199999999999,Rejected
Montgomery Collier and Johnson,Welded Wire Fence,2023-12-13,607.11,2.66,84.75,50,47,12,707.02,791.8624,37217.5328,Negotiation
Gordon Martinez and Hodges,Welded Wire Fence,2023-10-16,607.48,3.79,86.14,75,119,12,716.16,802.0992,95449.8048,Rejected
Johnson Group,Welded Wire Fence,2023-11-13,606.52,2.28,95.14,75,123,12,722.6899999999999,809.4128,99557.7744,Rejected
Martinez-Austin,Welded Wire Fence,2023-08-02,611.57,3.91,99.68,100,18,10,740.1600000000001,814.176,14655.168000000001,Negotiation
Wilson-Lee,Welded Wire Fence,2023-10-12,601.73,2.68,80.18,75,9,12,703.3399999999999,787.7407999999999,7089.667199999999,Accepted
Edwards Inc,Welded Wire Fence,2023-05-07,609.8,2.61,85.77,75,21,12,716.93,802.9616,16862.1936,Accepted
Maxwell Group,Welded Wire Fence,2023-10-24,601.19,3.91,86.26,75,94,12,710.11,795.3232,74760.3808,Accepted
Gonzalez-French,Welded Wire Fence,2023-01-23,597.54,2.6,93.71,50,41,12,706.35,791.1120000000001,32435.592000000004,Negotiation
Burgess-Richardson,Welded Wire Fence,2023-03-17,609.77,2.95,98.3,75,140,12,729.77,817.3424,114427.936,Rejected
Perez Ibarra and Cortez,Welded Wire Fence,2023-04-12,608.19,3.75,95.13,75,65,12,725.82,812.9184,52839.696,Rejected
Lucero-Jones,Welded Wire Fence,2023-07-28,612.73,2.99,96.65,100,9,10,737.37,811.107,7299.963,Rejected
Sharp Lewis and Becker,Welded Wire Fence,2023-09-15,609.81,3.35,98.72,100,143,12,736.88,825.3056,118018.7008,Rejected
Orr-Williams,Welded Wire Fence,2023-07-31,616.18,2.13,85.17,100,8,10,728.4799999999999,801.3279999999999,6410.623999999999,Negotiation
Nolan Henderson and Johnson,Welded Wire Fence,2023-10-27,601.66,3.67,94.15,75,40,12,718.2299999999999,804.4175999999999,32176.703999999994,Accepted
Clark White and Nash,Welded Wire Fence,2023-09-08,624.86,2.69,92.36,100,56,12,744.9100000000001,834.2992000000002,46720.75520000001,Negotiation
Baker-Gibson,Welded Wire Fence,2023-11-13,610.0,2.88,89.49,75,65,12,721.12,807.6544,52497.536,Negotiation
Blake Matthews and Edwards,Welded Wire Fence,2023-06-03,610.27,3.35,80.68,100,61,12,719.3,805.616,49142.576,Accepted
Holden Soto and Brown,Welded Wire Fence,2023-10-06,604.1,2.36,94.05,75,78,12,719.26,805.5712,62834.5536,Negotiation
Ellis Moran and Paul,Welded Wire Fence,2023-08-21,614.24,3.46,84.35,100,100,12,727.0500000000001,814.296,81429.6,Negotiation
King Ltd,Welded Wire Fence,2023-07-30,637.5,3.3,86.32,100,133,12,752.1199999999999,842.3743999999999,112035.7952,Rejected
Shields Ltd,Welded Wire Fence,2023-12-17,597.63,3.21,99.9,50,87,7,713.24,763.1668,66395.5116,Accepted
Richardson LLC,Welded Wire Fence,2023-04-26,608.84,3.01,80.93,75,25,12,711.53,796.9136,19922.84,Rejected
Woods LLC,Welded Wire Fence,2023-07-12,603.57,3.41,85.74,100,80,12,717.72,803.8464,64307.712,Rejected
Murphy-Campbell,Welded Wire Fence,2023-08-18,636.81,3.84,96.59,100,17,10,762.24,838.4639999999999,14253.887999999999,Accepted
Harmon-Herrera,Welded Wire Fence,2023-06-03,605.92,3.66,92.38,100,13,10,726.9599999999999,799.656,10395.527999999998,Negotiation
Cruz Wilcox and Cook,Welded Wire Fence,2023-05-14,604.14,3.04,95.14,75,1,12,721.0699999999999,807.5984,807.5984,Accepted
Davis-Davidson,Welded Wire Fence,2023-11-12,603.34,2.27,80.82,75,150,12,705.1800000000001,789.8016,118470.24,Rejected
Smith-Schultz,Welded Wire Fence,2023-10-12,606.06,2.71,92.88,75,122,12,720.4,806.848,98435.45599999999,Negotiation
Smith-Hughes,Welded Wire Fence,2023-08-21,621.03,2.93,94.28,100,45,10,743.2399999999999,817.5639999999999,36790.37999999999,Accepted
Hughes Young and Perez,Welded Wire Fence,2023-02-20,607.18,2.57,88.88,50,120,7,711.13,760.9091,91309.09199999999,Rejected
Johnson and Sons,Welded Wire Fence,2024-01-04,599.64,3.83,80.47,50,100,7,696.44,745.1908000000001,74519.08,Negotiation
Johnson Snyder and Jones,Welded Wire Fence,2023-10-13,605.2,3.46,90.82,75,114,12,718.23,804.4176,91703.6064,Rejected
Williams and Sons,Welded Wire Fence,2023-03-27,603.03,3.22,81.75,75,59,12,706.75,791.56,46702.03999999999,Accepted
Howard Inc,Welded Wire Fence,2023-09-21,602.56,3.45,88.88,100,58,12,719.89,806.2768,46764.0544,Accepted
Barker Group,Welded Wire Fence,2023-03-06,604.67,3.87,88.5,75,64,12,715.79,801.6848,51307.8272,Negotiation
Rubio Inc,Welded Wire Fence,2023-11-05,609.26,3.97,98.69,75,142,12,730.6700000000001,818.3504,116205.7568,Accepted
Boyd Inc,Welded Wire Fence,2023-02-15,602.61,3.81,89.51,50,139,7,708.43,758.0201,105364.79389999999,Accepted
Mccann-Johnson,Welded Wire Fence,2023-03-28,606.2,3.14,96.7,75,77,12,724.7900000000001,811.7648000000002,62505.88960000001,Negotiation
Finley Ltd,Welded Wire Fence,2023-05-27,604.68,3.38,90.82,75,90,12,717.6299999999999,803.7455999999999,72337.10399999999,Accepted
White Robinson and Davidson,Welded Wire Fence,2023-11-24,606.18,3.18,97.17,75,27,12,725.2799999999999,812.3135999999998,21932.467199999996,Rejected
Jackson and Sons,Welded Wire Fence,2023-09-24,633.53,3.07,99.37,100,27,10,760.97,837.067,22600.809,Accepted
Graham Lowe and Clark,Welded Wire Fence,2023-12-08,591.83,3.59,83.04,50,63,7,690.96,739.3272000000001,46577.613600000004,Negotiation
Spencer Cunningham and Turner,Welded Wire Fence,2023-08-22,609.92,2.38,87.7,100,91,12,725.0,812.0,73892.0,Rejected
Lewis Ltd,Welded Wire Fence,2023-03-09,607.43,2.63,93.84,75,69,12,722.65,809.3679999999999,55846.39199999999,Rejected
Baker-Blankenship,Welded Wire Fence,2023-09-28,619.62,2.33,85.8,100,20,10,732.75,806.025,16120.5,Negotiation
Mcclure-Williams,Welded Wire Fence,2023-02-03,604.69,3.12,81.24,50,103,7,701.5500000000001,750.6585000000001,77317.8255,Negotiation
Simmons-Thomas,Welded Wire Fence,2023-09-14,602.72,2.68,85.17,100,124,12,715.5699999999999,801.4384,99378.3616,Rejected
Ellis Williams and Martinez,Welded Wire Fence,2023-02-12,591.42,2.88,91.67,50,67,7,698.4699999999999,747.3628999999999,50073.31429999999,Accepted
Carrillo-Hernandez,Welded Wire Fence,2023-04-13,602.81,2.2,84.62,75,64,12,708.38,793.3856,50776.6784,Negotiation
Evans-Alexander,Welded Wire Fence,2023-06-09,615.46,3.07,95.13,100,137,12,738.6600000000001,827.2992000000002,113339.99040000002,Negotiation
Pace PLC,Welded Wire Fence,2023-09-11,609.37,2.23,81.82,100,56,12,718.4200000000001,804.6304000000001,45059.30240000001,Accepted
Newman-Merritt,Welded Wire Fence,2023-03-21,602.57,2.01,84.07,75,42,12,707.4000000000001,792.2880000000001,33276.096000000005,Accepted
Kline Johnson and Fox,Welded Wire Fence,2023-10-02,606.08,2.81,86.74,75,139,12,714.38,800.1056,111214.6784,Rejected
Haynes-Lowe,Welded Wire Fence,2023-06-03,636.57,2.45,81.87,100,123,12,745.8900000000001,835.3968000000001,102753.80640000002,Rejected
Mccarthy-Good,Welded Wire Fence,2024-01-10,602.68,3.96,96.0,50,72,7,715.14,765.1998,55094.3856,Rejected
Cannon Green and Thompson,Welded Wire Fence,2023-03-26,608.85,3.24,90.42,75,117,12,721.26,807.8112,94513.9104,Rejected
Lawson-Peters,Welded Wire Fence,2023-10-16,601.99,3.54,82.67,75,107,12,706.9499999999999,791.7839999999999,84720.88799999999,Rejected
Shepherd Ltd,Welded Wire Fence,2023-03-24,607.27,3.52,91.65,75,14,12,721.1899999999999,807.7327999999999,11308.259199999999,Negotiation
King-Tapia,Welded Wire Fence,2023-05-22,605.16,2.14,92.21,75,98,12,718.26,804.4512,78836.2176,Accepted
Brown-Cooper,Welded Wire Fence,2023-05-09,607.39,2.95,86.92,75,45,12,716.01,801.9312,36086.904,Rejected
Morales Group,Welded Wire Fence,2023-05-23,600.93,3.68,85.22,75,82,12,708.5799999999999,793.6095999999999,65075.98719999999,Accepted
Stephens PLC,Welded Wire Fence,2023-07-23,634.35,2.92,90.37,100,147,12,752.64,842.9567999999999,123914.64959999999,Rejected
Jacobs-Johnson,Welded Wire Fence,2023-05-29,603.75,3.14,99.27,75,61,12,724.91,811.8992,49525.8512,Accepted
Griffin Hammond and Murray,Welded Wire Fence,2023-12-09,590.47,3.25,97.23,50,67,7,703.45,752.6915,50430.330500000004,Rejected
Mathews-Johnson,Welded Wire Fence,2023-05-19,600.99,3.77,88.83,75,107,12,712.34,797.8208000000001,85366.82560000001,Accepted
Harris Ltd,Welded Wire Fence,2023-08-02,620.53,3.49,81.78,100,69,12,730.8,818.496,56476.224,Negotiation
Lane Mitchell and Hicks,Welded Wire Fence,2023-03-12,604.01,2.25,84.73,75,40,12,709.74,794.9088,31796.352000000003,Accepted
Hunt-Hunter,Welded Wire Fence,2023-02-26,591.67,3.44,92.01,50,130,7,699.62,748.5934,97317.14199999999,Rejected
Hayden and Sons,Welded Wire Fence,2023-05-27,607.98,2.96,96.13,75,59,12,725.82,812.9184,47962.185600000004,Rejected
Hall and Sons,Welded Wire Fence,2023-10-16,608.76,3.6,86.05,75,82,12,717.16,803.2192,65863.9744,Negotiation
Franco Inc,Welded Wire Fence,2023-02-09,598.6,2.15,83.17,50,120,7,696.42,745.1694,89420.328,Accepted
Cunningham Ltd,Welded Wire Fence,2023-10-17,601.08,3.12,87.52,75,65,12,710.47,795.7264,51722.216,Rejected
Phillips Inc,Welded Wire Fence,2023-05-03,609.32,2.99,84.23,75,25,12,715.2900000000001,801.1248,20028.120000000003,Rejected
Harrison-Ortiz,Welded Wire Fence,2023-11-11,601.37,2.84,89.35,75,75,12,712.3100000000001,797.7872000000001,59834.04000000001,Negotiation
Dean Group,Welded Wire Fence,2023-10-20,607.84,2.2,80.55,75,10,12,709.34,794.4608000000001,7944.608,Accepted
Hanson-Roberts,Welded Wire Fence,2023-08-22,600.13,2.04,89.8,100,99,12,716.9699999999999,803.0063999999999,79497.63359999999,Accepted
Ball Schneider and Cameron,Welded Wire Fence,2023-11-11,602.29,2.73,85.11,75,18,12,708.88,793.9456,14291.0208,Accepted
Armstrong Watts and Weiss,Welded Wire Fence,2023-03-23,601.02,2.78,94.53,75,130,12,717.0799999999999,803.1296,104406.848,Rejected
Hill and Sons,Welded Wire Fence,2023-02-05,599.03,3.67,88.64,50,132,7,703.8399999999999,753.1087999999999,99410.36159999997,Accepted
Miller Russell and Chen,Welded Wire Fence,2023-08-08,622.78,3.26,92.93,100,36,10,743.97,818.3670000000001,29461.212000000003,Accepted
Wilson PLC,Welded Wire Fence,2023-03-24,608.53,2.86,88.39,75,143,12,718.53,804.7536,115079.7648,Rejected
Rodriguez Ltd,Welded Wire Fence,2024-01-07,598.04,2.01,80.67,50,94,7,693.2199999999999,741.7453999999999,69724.0676,Rejected
Hartman Group,Welded Wire Fence,2023-04-06,608.41,2.25,84.09,75,50,12,713.5,799.12,39956.0,Negotiation
Martinez-Decker,Welded Wire Fence,2023-10-29,600.6,2.11,82.32,75,141,12,703.78,788.2336,111140.9376,Accepted
Conway and Sons,Welded Wire Fence,2023-08-29,606.1,3.01,95.49,100,148,12,729.6,817.152,120938.49600000001,Accepted
Kramer Cook and Reynolds,Welded Wire Fence,2023-12-30,606.59,3.9,88.7,50,129,7,711.69,761.5083000000001,98234.57070000001,Rejected
Ramos Odom and Kelly,Welded Wire Fence,2024-01-08,604.05,2.47,86.15,50,24,12,705.17,789.7904,18954.9696,Accepted
Keith Ltd,Welded Wire Fence,2023-08-08,633.26,3.24,99.6,100,99,12,761.1,852.432,84390.768,Rejected
Nelson Knight and Wilson,Welded Wire Fence,2023-01-25,599.03,3.35,80.72,50,66,7,695.6,744.292,49123.272000000004,Negotiation
Williams and Sons,Welded Wire Fence,2023-11-04,607.8,3.94,89.51,75,45,12,720.0,806.4,36288.0,Rejected
Carlson-Walter,Welded Wire Fence,2024-01-14,599.13,2.47,81.17,50,28,12,695.27,778.7024,21803.6672,Accepted
Hernandez PLC,Welded Wire Fence,2023-05-15,600.27,3.07,85.66,75,127,12,707.75,792.6800000000001,100670.36000000002,Accepted
Singh-George,Welded Wire Fence,2023-11-08,601.93,2.53,82.83,75,73,12,706.04,790.7647999999999,57725.83039999999,Accepted
Moore LLC,Welded Wire Fence,2023-06-07,635.14,2.26,99.25,100,51,12,761.65,853.048,43505.448,Accepted
Turner-Reyes,Welded Wire Fence,2023-10-26,604.33,2.36,82.4,75,91,12,707.84,792.7808,72143.0528,Negotiation
Fuentes Leach and Moran,Welded Wire Fence,2023-10-24,601.02,2.26,84.2,75,90,12,706.23,790.9776,71187.98400000001,Accepted
Miller Watson and Casey,Welded Wire Fence,2023-03-04,603.76,2.24,96.81,75,101,12,721.56,808.1471999999999,81622.8672,Rejected
